authcap,donation
625000000,1600000
625000000,1600000
625000000,151000
625000000,2175000
625000000,2175000
625000000,2175000
500000000,500000
500000,5000000
500000,5000000
150000000.00,100000
60000000.0,25000
4904200000,15000000
4904200000,10000000
4904200000,15000000
4904200000,10000000
4904200000,15000000
1810500000,10000000
1810500000,10000000
1810500000,10000000
1810500000,10000000
1810500000,6500000
350000000.0,100000
1452000000,10000000
10000000000,50000000
10000000000,50000000
50000000.0,400000
50000000.0,400000
350000000,24719
60000000.0,2500000
100000.0,20000000
10000000.00,20000000
220000000,10000000
480000000.00,120000000
480000000.00,120000000
650000.0,25000
650000.0,25000
15000000000,25000
6500000000,10000000
18000000.0,1000000
100000.0,100000
200000000.00,7500000
200000000.00,2000000
200000000.00,2000000
110000000.0,500000
200000000.0,12500000
200000000.0,12500000
200000000.0,12500000
200000000.0,12500000
200000000.0,12500000
1412000000,1400000
20000000.00,1000000
2020000.00,3000000
350000000.00,400000
120000000.00,16000000
120000000.00,16000000
150000000.00,8000000
160000000.00,8000000
20000000.00,100000
1100000000,1000000
50000000.00,1000000
100000000.00,250000
5000000.0,200000
1040100000.00,150000
201000000.00,251000
650000000,25000
600000000,1000000
600000000,4000000
600000000,4000000
9500000.0,25000
700000000.00,500000
760000000,23000000
760000000,23000000
760000000,23000000
760000000,23000000
500000.00,500000
110000000.00,50000
10000000.00,700000
10000000.00,10875000
10000000.00,10875000
10000000.00,10875000
10000000.00,10875000
10000000.00,10875000
10000000.00,8550000
10000000.00,8550000
10000000.00,8550000
10000000.00,200000
10000000.00,100000
10000000.00,5500000
10000000.00,5500000
233000000.00,2200000
233000000.00,2200000
100000000.00,4000000
100000000.00,4000000
20000000.0,4500000
20000000.0,4500000
20000000.0,4500000
4000000000,5000000
4000000000,1500000
4000000000,10000000
130000000.0,2500000
50000000.00,500000
30000000.00,1100000
300000000.0,500000
1050000000,105000000
1050000000,105000000
1050000000,105000000
1050000000,50000000
1050000000,50000000
1050000000,65000000
1050000000,65000000
1000000000,1500000
1000000000,40000000
1000000000,40000000
20000000.00,15000000
20000000.00,61500000
20000000.00,61500000
20000000.00,61500000
20000000.00,10000000
200000000.00,121500000
200000000.00,121500000
200000000.00,121500000
35000000000.00,2000000
25000000000,2000000
80000000,50000
8501000000,2500000
8501000000,10000000
7500000,51000
500000.00,500000
1000000000,67500000
1000000000,67500000
1000000000,67500000
101000000.00,50000
535000000,200000
490000000.00,700000
1500000000,200000
10000000000,20000000
500000000.0,2500000
500000000,4500000
13100000.00,500000
1725000000,100000000
1725000000,6000000
1725000000,40000000
1725000000,40000000
1000000000.0,20000000
846000000,20000000
846000000,35000000
50000000000.00,150000000
50000000000.00,150000000
170000000,111111
250000000,1500000
250000000,2500000
250000000,5000000
300000000,250000
300000000,250000
10000000.0,250000
20000000.00,60000000
20000000.00,60000000
20000000.00,60000000
670500000,3600000
670500000,3600000
670500000,3600000
670500000,3600000
670500000,50000000
670500000,500000
50000000.00,10000000
235000000.00,10000000
235000000.00,15000000
235000000.00,10000000
235000000.00,15000000
235000000.00,10000000
690000000.00,200000
690000000.00,200000
500000000.00,1000000
1750000000,90000000
95000000.00,125000
200000000,100000
200000000,100000
150000000.00,50000
1550000000.00,1100000
100000000.00,100000
250000000.00,2500000
50000000.00,100000
20000000.00,236146
1240000000,1500000
50000000.00,3500000
1350000000,5000000
1000000000.00,15750000
1000000000.00,15750000
1000000000.00,15750000
1000000000.00,15750000
1000000000.00,15750000
1830000000,20000000
1830000000,20000000
80000000.00,2100000
76700000.00,500000
59054480.00,1500000
3512200000,5000000
75000000,9000000
75000000,9000000
800000000,300000
1500000000,5000000
2500000.00,600000
1000000.0,600000
60000000.0,100000
60000000.0,50000
60000000.0,100000
60000000.0,50000
35000000,150000
500000000,600000
30000000.00,250000
500000000.0,10000000
500000000,300000
13000000000.00,1000000
50000000.00,500000
25000000.00,1000000
30000000000,1000000
30000000000,200000
170000000,400000
60000000,6000000
60000000,6000000
60000000,2000000
60000000,1000000
60000000,1000000
200000000.00,2500000
200000000.00,4200000
200000000.00,4200000
180000000.00,1000000
500000000,15000000
500000000,15000000
500000000,15000000
500000000,33000000
500000000,33000000
500000000,33000000
500000000,33000000
2350000000,1000000
2350000000,37500000
2350000000,37500000
2350000000,37500000
2350000000,15750000
2350000000,15750000
2350000000,15750000
47500000.0,100000
400000000,500000
400000000,25000
10000000.00,300000
30000000,25000000
30000000,25000000
30000000,25000000
30000000,25000000
30000000,25000000
50000000.00,100000
150470000000,2500000
500000000.00,300000
500000000.00,2500000
45000000.00,200000
40000000.00,100000
35000000.00,50000
800000000,17150000
800000000,17150000
800000000,17150000
800000000,17150000
800000000,17150000
800000000,17150000
800000000,17150000
800000000,142000000
800000000,142000000
800000000,142000000
800000000,142000000
800000000,142000000
800000000,142000000
800000000,142000000
800000000,142000000
800000000,500000
832000000,150000
832000000,150000
20000000.00,1001001
1750000000,60000000
1750000000,60000000
1750000000,60000000
243000000.00,200000
180000000.00,30000000
150000000,251000
49500000.00,1250000
49500000.00,1250000
125000000,3750000
250000000.00,500000
250000000.00,800000
250000000.00,800000
250000000.00,18000000
250000000.00,800000
250000000.00,800000
250000000.00,18000000
250000000.00,800000
250000000.00,800000
250000000.00,18000000
250000000.00,800000
250000000.00,800000
250000000.00,18000000
250000000.00,800000
250000000.00,800000
250000000.00,18000000
250000000.00,800000
250000000.00,800000
250000000.00,18000000
250000000.00,800000
250000000.00,800000
250000000.00,18000000
250000000.00,800000
250000000.00,800000
250000000.00,18000000
420000000,200000
1900000000.0,500000
1900000000.0,204000
1900000000.0,204000
345000000.00,200000
20000000.00,1102000
20000000.00,1102000
700000000.00,1100000
40000000.00,100000
500000000,600000
500000000,600000
500000000,1000000
1400000000.00,100000
500000000.00,100000
20000000000,51000
250000000.00,50000
3500000000,30000
330000000.0,600000
330000000.0,600000
10000000.00,100000
10000000.00,101000
0.00,70000000
0.00,70000000
21000000.0,300000
100000000.00,51000
400000000,50000000
580000000,1000000
105000000.00,1000000
15000000.0,400000
15000000.0,400000
15000000.0,13000000
15000000.0,13000000
1000000000,10000000
150000000.00,1000000
150000000.00,1000000
1800000000.00,1500000
1800000000.00,8000000
1800000000.00,8000000
610000000.00,5000000
950000000,800000
170001000,2500000
15434750000,500000
881627000.00,7500000
15000000.00,8000000
15000000.00,8000000
250000000.00,1000000
22010000.00,7500000
22010000.00,2500000
1400700000.00,1000000
250000000.00,1000000
1480000000.0,2600000
300000000,4000000
300000000,4000000
120000000.00,1000000
10000000000,178000000
10000000000,178000000
10000000000,178000000
10000000000,178000000
200000000,40000
400000000,250000000
400000000,250000000
400000000,250000000
400000000,250000000
61000000,21000
100000.00,250000000
20000000.00,25000
2250000000,500000
45000000.0,100011
60000000.00,111000
2000000000,7500000
2000000000,600000
2000000000,7500000
2000000000,600000
2000000000,7500000
2000000000,600000
300000000,500000
150000000.00,151000
5500000000.0,1000000
655000000,1000000
25000000.00,151000
550000000,150000
350000000,30000
800000000,20000000
800000000,15000000
50000000.00,290000
80000000,100000
420001000.00,100000
350000000.00,100000
200000000.00,250000
500000000,500000
400000000.00,500000
400000000.00,3000000
400000000.00,3000000
250000000,1000000
10000000.0,500000
500000000.0,5000000
350000000,150000
750000000,1000000
135500000.00,100000
300000000,2000000
7900000000.00,2500000
150000000.00,100000
50315000000.00,20000000
50315000000.00,20000000
50315000000.00,25000000
550000000.00,1000000
3250000000,50000000
100000000.00,500000
100000000.00,450000
100000000.00,150000
1608802200,445858200
1608802200,445858200
1608802200,445858200
1608802200,445858200
1608802200,445858200
1608802200,445858200
1608802200,445858200
1608802200,445858200
1608802200,445858200
460000000.00,3300000
350000000.0,100000
170000000.00,1000000
1210000000.00,10000000
1000000000.00,100000
1000000000.00,425000
200000000,300000
200000000,300000
400000000,1500000
150000000.00,200000
410000000.00,200000
660000000.00,1500000
1350000000.00,2500000
1350000000.00,2000000
200000000.00,2500000
250000000.00,10000000
30000000.00,750000
250000000.0,251000
150000000,500000
500000.0,5000000
1040000000.00,11250000
52500000,11250000
200000000,11250000
100000000.00,50000
500000000.0,74400000
500000000.0,74400000
500000000.0,74400000
500000000.0,74400000
200000000.00,4000000
3000000.0,50000
100000000.00,150000
100000000.00,150000
370000000,280000
370000000,280000
120000000.00,25000
340000000.0,90000000
340000000.0,2500000
2500000000.00,20000000
2500000000.00,20000000
500000.0,7000000
65000000.00,250000
10000000.00,2500000
469020000,2000000
311000000.00,1680000000
311000000.00,1680000000
311000000.00,1680000000
311000000.00,1680000000
311000000.00,1680000000
311000000.00,1680000000
311000000.00,1680000000
311000000.00,25000000
311000000.00,216000000
311000000.00,216000000
200000000.00,1000000
200000000.00,2100000
120000000.00,40000000
120000000.00,40000000
120000000.00,40000000
120000000.00,40000000
120000000.00,51000
2250000000,40000
100000000.00,400000
100000000.00,400000
25000000.0,60000
10000000.00,25000
10000000.00,40000
0.00,251000
20000000.0,27500000
20000000.0,27500000
20000000.0,160000000
20000000.0,160000000
20000000.0,160000000
20000000.0,160000000
20000000.0,3750000
405000000.00,3000000
405000000.00,1500000
50000000.00,151000
500000000.0,3000000
560000000.0,3000000
1550000000,5000000
1550000000,5000000
1550000000,1200000
1550000000,1200000
1000000.00,220000000
1000000.00,220000000
10000000.00,1000000
50000000,100000
20000000.00,50000000
20000000.00,50000000
1505000000,20000000
1500000000.00,500000
15100000.0,25000
603500000.00,500000
800017830.00,500000
800017830.00,25000
50000000.00,30000000
50000000.00,5000000
50000000.00,30000000
50000000.00,5000000
1000000000.00,5000000
15000000.00,1000000
10000000.0,1250000
100000000,500000
100000000,50000
370000000.00,500000
530000000.0,3000000
132000000.00,50000
15000000.00,40000
15000000.00,100000
100000000.00,75000
5000000.00,5000000
5000000.00,5000000
5000000.00,1200000
0.00,5000000
250000000,999999
250000000,999999
250000000,999999
250000000,22000000
250000000,22000000
500000.00,1000000
380000000,500000
20000000.00,100000
250000000.00,500000
781210000.00,2100000
200000000.00,500000
500000000,100000
700000000,500000
723000000,24000000
723000000,5000000
500000000,300000
50000000,480000
50000000,480000
50000000,480000
15000000.0,1000000
15000000.0,1000000
550000000,200000
15000000,51000
240000000.00,500000
900000000,51000
180000000.00,100000
100000000,1500000
100000000,1500000
200000000,1000000
450000000,25000
500000.0,7500000
1800000000,10000000
1000000000,10000000
65000000.00,100000
1000000000,3000000
35000000.0,100000
1500000.00,95000
940000000,2200000
940000000,2200000
110000000.0,100000
1000000000.00,160000000
1000000000.00,160000000
1000000000.00,160000000
1000000000.00,160000000
300000000,200000
210000000.00,500000
210000000.00,250000
210000000.00,100000
210000000.00,8250000
16500000,8250000
210000000.00,8250000
210000000.00,8250000
16500000,8250000
16500000,8250000
270000000.00,1000000
3000000000,4000000
3000000000,2500000
3000000000,2500000
73500000.00,101000
100000.00,500000
100000.00,5000000
60000000000.00,980000
501300000000.00,980000
300000000,100000
85000000.00,50000
20000000.00,100000
500000.0,90000000
500000.0,90000000
500000.0,90000000
90000000.00,1100000
450000000.00,60000000
450000000.00,60000000
450000000.00,60000000
450000000.00,60000000
450000000.00,60000000
450000000.00,60000000
7000000000.00,15000000
7000000000.00,15000000
500000.00,100000
200000000,2100000
200000000,3500000
411200000.00,24000000
411200000.00,24000000
411200000.00,4500000
110000000.00,100000
0.00,180000000
0.00,180000000
0.00,180000000
0.00,180000000
5500000000,500000
5300000.0,12000000
60000000.0,12000000
1950000000.00,20000000
74700700.00,200000
10000000.00,1000000
1250000000.00,250000
1250000000.00,24000000
500000000.00,1000000
500000000.00,7000000
500000000.00,7000000
1992600000.0,12500000
1992600000.0,100000000
1992600000.0,12500000
1992600000.0,100000000
1992600000.0,12500000
1992600000.0,100000000
1992600000.0,12500000
1992600000.0,100000000
1992600000.0,12500000
1992600000.0,100000000
200000000.00,100000
1000000.00,1000000
12500000.0,1000000
300000000,588000
300000000,588000
300000000,588000
300000000,825000
300000000,7645000
300000000,825000
300000000,7645000
300000000,825000
300000000,7645000
300000000,825000
300000000,7645000
300000000,825000
300000000,7645000
300000000,825000
300000000,7645000
300000000,825000
300000000,7645000
300000000,825000
300000000,7645000
300000000,825000
300000000,7645000
300000000,825000
300000000,7645000
300000000,825000
300000000,7645000
750000000,250000
2500000000.00,751000
1000000.00,25000
222700000,1500000
25000000.0,500000
520000000.00,200000
100000000.00,200000
5000000.00,100000
260000000.00,10000000
2700000000.00,1000000
20000000.00,1000000
550000000.0,180000000
550000000.0,180000000
550000000.0,180000000
1000000.00,100000
3360000000,10000000
2800000000,10000000
3360000000,10000000
2800000000,10000000
375000000.0,50000
5000000.00,40000
600000000.00,1500000
600000000.00,20000000
300000000.00,64000000
300000000.00,64000000
1500000000.00,151000
5000000000,50000000
5000000000,1000000000
5000000000,1000000000
5000000000,1000000000
5000000000,1000000000
5000000000,1000000000
70000000.00,1000000
355000000,2000000
80500000,21000
10000000.00,500000
35000000,100000
250000000.00,75000
600000000,210000000
600000000,210000000
600000000,210000000
600000000,200000000
600000000,200000000
600000000,200000000
600000000,200000000
120000000.00,80000
100000.00,50000
4000000.00,51000
50000000.0,25000
15000000000,300000
1002500000.00,500000
1002500000.00,500000
400000000,200000
50000000.00,25000
500000000.0,5000000
500000000.0,1100000
300000000,5000000
30000000.00,600000
187000000.00,2000000
187000000.00,30000000
700000000.00,10000000
1000000000.0,10000000
1250000000,15000000
1250000000,120000000
1250000000,120000000
1250000000,120000000
1250000000,160000000
1250000000,160000000
1250000000,160000000
1250000000,160000000
1250000000,30000000
20000000000,1055000000
20000000000,1055000000
20000000000,1055000000
20000000000,1055000000
20000000000,1055000000
20000000000,1055000000
20000000000,1055000000
20000000000,1055000000
20000000000,1055000000
20000000000,1055000000
20000000000,40000000
20000000000,40000000
20000000000,886000000
20000000000,886000000
20000000000,886000000
20000000000,886000000
20000000000,886000000
20000000000,886000000
20000000000,886000000
20000000000,886000000
20000000000,3374500000
20000000000,3374500000
20000000000,3374500000
20000000000,3374500000
20000000000,3374500000
20000000000,3374500000
20000000000,3374500000
20000000000,3374500000
20000000000,3374500000
20000000000,3374500000
20000000000,3374500000
20000000000,3374500000
20000000000,3374500000
20000000000,3374500000
20000000000,3374500000
20000000000,3374500000
20000000000,3374500000
45100000.0,100000
150000000.00,20000000
150000000.00,8000000
150000000.00,20000000
150000000.00,8000000
150000000.00,250000
125000000.00,500000
125000000.00,2500000
91120000000.00,25000000
100000.00,200000000
100000.00,200000000
100000.00,200000000
100000.00,200000000
125000000.00,1000000
430000000,5000000
430000000,5000000
430000000,5000000
1000000.0,20000000
1000000.0,20000000
1000000.0,20000000
1000000.0,20000000
210000000,1000000
30000000.00,500000
500000000,6000000
5000000.00,500000
5542000000,100000
350000000,25000
2000000.00,500000
1250000000.0,90000000
5000000000,50000
50000000.00,100000
150000000.00,100000
150000000.00,100000
120000000.00,100000
1300000000,2500000
1300000000,10000000
420000000.00,1000000
200000000.0,500000
60000000.00,250000
170000000.00,120000
170000000.00,120000
6000000000,100000000
6000000000,118764
6000000000,118764
6000000000,5000000
6000000000,40000000
6000000000,5000000
6000000000,40000000
6000000000,180000000
6000000000,50000000
6000000000,180000000
6000000000,50000000
6000000000,180000000
6000000000,50000000
6000000000,180000000
6000000000,50000000
6000000000,180000000
6000000000,50000000
6000000000,100000000
6000000000,280000000
6000000000,100000000
6000000000,280000000
6000000000,100000000
6000000000,280000000
6000000000,100000000
6000000000,280000000
6000000000,100000000
6000000000,280000000
50000000.0,500000
260000000.00,10000000
310000000.0,5000000
54000000.00,111000
330000000,400000
10100000.00,100000
1500000000,2500000
16000000.00,50000
100000000.00,1000000
500000000.00,400000
500000000.00,400000
1555000000,500000
1555000000,1000000
11250000000.00,60000000
11250000000.00,60000000
100000000.00,1000000
350000000.00,300000
10000000.00,200000
200000000.00,100000
200000000.00,30000
23000000000,20000000
1000000000.00,2500000
600000000.00,15000000
5000000.00,10000000
100000000.0,10000000
450000000.00,20000000
450000000.00,20000000
450000000.00,10000000
